Nombre_registro,FechaHora_PC,Fase,Tipo_muestra,Numero_muestra,Timestamp_ESP32_us,Tiempo_sesion_s,Tiempo_prueba_s,Perdidas_desde_anterior,ECG_RAW_ADC,ECG_FILTRADO_ADC,Electrodos_conectados,Calidad_ECG,Pico_R,RR_actual_ms,RR_estable_ms,FC_ECG_BPM,RMSSD_fase_ms,SDNN_fase_ms,RR_validos_fase,RMSSD_basal_ms,SDNN_basal_ms,RR_validos_basal,RMSSD_prueba_ms,SDNN_prueba_ms,RR_validos_prueba,PPG_RED_RAW,PPG_IR_RAW,Dedo_PPG,Estado_PPG,SpO2_pct,FC_PPG_BPM,PPG_valido,GSR_RAW_ADC,GSR_FILTRADO,GSR_BASAL,GSR_DELTA_ADC,GSR_DELTA_PCT,Estado_GSR,GSR_pendiente_basal_20s_pct_min,GSR_pendiente_basal_10s_pct_min,GSR_basal_estable,Temperatura_C
Mama,2026-08-29T10:53:04.783,ADAPTACION,ECG,23195,46521165,0.047864,,0,1876,2127,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.784,ADAPTACION,ECG,23196,46523165,0.049864,,0,1862,2100,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.785,ADAPTACION,PPG,1162,46524679,0.051378,,0,,,,,,,,,,,,,,,,,,189,134,0,SIN DEDO,,,0,,,,,,,,,,
Mama,2026-08-29T10:53:04.786,ADAPTACION,ECG,23197,46525419,0.052118,,0,1825,2068,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.787,ADAPTACION,ECG,23198,46527419,0.054118,,0,1770,2038,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.788,ADAPTACION,ECG,23199,46529418,0.056117,,0,1693,2013,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.789,ADAPTACION,ECG,23200,46531418,0.058117,,0,1652,1996,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.792,ADAPTACION,ECG,23201,46533418,0.060117,,0,1693,1986,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.793,ADAPTACION,GSR,2315,46534110,0.060809,,0,,,,,,,,,,,,,,,,,,,,,,,,,2386,2386.18,,,,ADAPTANDO,,,,
Mama,2026-08-29T10:53:04.795,ADAPTACION,ECG,23202,46535282,0.061981,,0,1776,1984,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.796,ADAPTACION,ECG,23203,46537287,0.063986,,0,1869,1988,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.796,ADAPTACION,ECG,23204,46539289,0.065988,,0,1909,1995,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.797,ADAPTACION,ECG,23205,46541289,0.067988,,0,1891,2002,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.798,ADAPTACION,ECG,23206,46543291,0.069990,,0,1829,2008,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.799,ADAPTACION,ECG,23207,46545292,0.071991,,0,1761,2011,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.799,ADAPTACION,ECG,23208,46547295,0.073994,,0,1710,2015,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.801,ADAPTACION,ECG,23209,46549296,0.075995,,0,1722,2018,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.802,ADAPTACION,ECG,23210,46551297,0.077996,,0,1776,2023,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.802,ADAPTACION,ECG,23211,46553298,0.079997,,0,1840,2027,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.805,ADAPTACION,GSR,2316,46553994,0.080693,,0,,,,,,,,,,,,,,,,,,,,,,,,,2385,2386.09,,,,ADAPTANDO,,,,
Mama,2026-08-29T10:53:04.805,ADAPTACION,ECG,23212,46555159,0.081858,,0,1879,2029,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.819,ADAPTACION,ECG,23213,46557162,0.083861,,0,1884,2028,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.819,ADAPTACION,ECG,23214,46559162,0.085861,,0,1869,2024,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.820,ADAPTACION,ECG,23215,46561162,0.087861,,0,1810,2022,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.820,ADAPTACION,ECG,23216,46563162,0.089861,,0,1751,2023,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.821,ADAPTACION,PPG,1163,46564233,0.090932,,0,,,,,,,,,,,,,,,,,,192,136,0,SIN DEDO,,,0,,,,,,,,,,
Mama,2026-08-29T10:53:04.822,ADAPTACION,ECG,23217,46565417,0.092116,,0,1735,2027,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.823,ADAPTACION,ECG,23218,46567419,0.094118,,0,1785,2033,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.824,ADAPTACION,ECG,23219,46569419,0.096118,,0,1866,2040,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.825,ADAPTACION,ECG,23220,46571419,0.098118,,0,1921,2047,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.830,ADAPTACION,ECG,23221,46573418,0.100117,,0,1927,2051,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.831,ADAPTACION,GSR,2317,46574110,0.100809,,0,,,,,,,,,,,,,,,,,,,,,,,,,2384,2385.92,,,,ADAPTANDO,,,,
Mama,2026-08-29T10:53:04.832,ADAPTACION,ECG,23222,46575282,0.101981,,0,1872,2051,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.833,ADAPTACION,ECG,23223,46577287,0.103986,,0,1790,2046,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
